INMUEBLE;PROVINCIA;MUNICIPIO;AFECTACIÓN;SUBTIPO;ESTADO INMUEBLE;ADSCRIPCIÓN;CERTIFICADO ENERGÉTICO (S/N);INSCRITO REGISTRO PROPIEDAD (S/N);LICENCIA APERTURA (S/N);FECHA ALTA;FECHA BAJA;FECHA BIC;SUPERFICIE CONSTRUIDA;CALIFICACIÓN SUELO CASTELLANO;CALIFICACIÓN SUELO VALENCIANO;CLASIFICACIÓN SUELO CASTELLANO;CLASIFICACIÓN SUELO VALENCIANO;DERECHO TERCERO CASTELLANO;DERECHO TERCERO VALENCIANO;NATURALEZA CASTELLANO;NATURALEZA VALENCIANO;NIVEL CASTELLANO;NIVEL VALENCIANO;SITUACIÓN ARRENDAMIENTO CASTELLANO;SITUACIÓN ARRENDAMIENTO VALENCIANO;USO PORMENOR CASTELLANO;USO PORMENOR VALENCIANO
'Solar Para La Ampliacion Del  I.V.A.M.;Valencia/València;València;Cultural;Suelo Urbano;Inventariado;Conselleria De Educacion Cultura  Universidades Y Empleo;N;S;N;2002/02/13 00:00:00.000000000;;;0,0;Desconocida;Desconeguda;Desconocida;Desconeguda;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
'Solar Para La Ampliacion Del  I.V.A.M.;Valencia/València;València;Cultural;Suelo Urbano;Inventariado;Conselleria De Educacion Cultura  Universidades Y Empleo;N;S;N;2002/06/26 00:00:00.000000000;;;223,0;Desconocida;Desconeguda;Desconocida;Desconeguda;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
'Solar Para La Ampliacion Del  I.V.A.M.;Valencia/València;València;Cultural;Suelo Urbano;Inventariado;Conselleria De Educacion Cultura  Universidades Y Empleo;N;S;N;2002/07/30 00:00:00.000000000;;;0,0;Desconocida;Desconeguda;Desconocida;Desconeguda;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
'Solar Para La Ampliacion Del  I.V.A.M.;Valencia/València;València;Cultural;Suelo Urbano;Inventariado;Conselleria De Educacion Cultura  Universidades Y Empleo;N;S;N;2003/07/15 00:00:00.000000000;;;372,0;Desconocida;Desconeguda;Desconocida;Desconeguda;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
'Solar Para La Ampliacion Del  I.V.A.M.;Valencia/València;València;Cultural;Suelo Urbano;Inventariado;Conselleria De Educacion Cultura  Universidades Y Empleo;N;S;N;2007/11/12 00:00:00.000000000;;;286,46;Desconocida;Desconeguda;Desconocida;Desconeguda;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
(Ceem) Centro Especifico De Enfermos Mentales Y Centro De Dia;Castellón/Castelló;Albocàsser;Asistencial Social;Edificio;Inventariado;Instituto Valenciano De Atención Social Y Sanitaria;N;S;S;2005/07/28 00:00:00.000000000;;;1485,0;Dotacional Publico;Dotacional Publico;Suelo No Urbanizable Comun;Suelo No Urbanizable Comun;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
1/2 Parte Indivisa Vivienda;Valencia/València;València;Asistencial Social;Vivienda;Inventariado;Direccion General De Patrimonio Abintestatos;N;N;N;2014/02/22 00:00:00.000000000;;;128,59;Desconocida;Desconeguda;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Abintestato;Abintestat;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
1/6 Condominio  Planta Baja  Procedente De Abintestato;Valencia/València;València;Patrimonial;Vivienda;Inventariado;Dirección General De Patrimonio;N;S;N;2002/10/18 00:00:00.000000000;;;60,0;Centro Histórico Protegido;Centro Histórico Protegido;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Patrimonial;Patrimonial;Sin Protección;Sense Protecció;Otra;Altra;Residencial Plurifamiliar;Residencial Plurifamiliar
1/6 Parte De Una Vivienda Adquirida Por Herencia;Alicante/Alacant;Alcoi/Alcoy;Patrimonial;Vivienda;Inventariado;Dirección General De Patrimonio;N;S;N;2006/12/01 00:00:00.000000000;;;49,53;Desconocida;Desconeguda;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Patrimonial;Patrimonial;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
1/6 Parte Indivisa De  Vivienda Procedente De Abi;Alicante/Alacant;Onil;Asistencial Social;Vivienda;Inventariado;Direccion General De Patrimonio Abintestatos;N;N;N;2018/05/03 00:00:00.000000000;;;96,25;Desconocida;Desconeguda;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Abintestato;Abintestat;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
14,18%  En Proindiviso De La Parcela  B2-2   Urbanización Sector Nord De Carcaixent (Generalita El 14,11% Propiedad);Valencia/València;Carcaixent;Patrimonial;Suelo Urbanizable;Inventariado;Dirección General De Patrimonio;N;S;N;2009/03/25 00:00:00.000000000;;;0,0;Terciario;Terciario;Suelo Urbanizable;Suelo Urbanizable;Desconocido;Desconegut;Patrimonial;Patrimonial;Sin Protección;Sense Protecció;Otra;Altra;Terciario Manzana Densa;Terciario Manzana Densa
17,95% De La Propiedad De Un Solar Procedente Reparcelación De Antigua  A-300;Alicante/Alacant;Santa Pola;Carreteras;Suelo Urbano;Inventariado;Conselleria De Medio Ambiente  Infraestructuras Y Territorio;N;S;N;1984/07/01 00:00:00.000000000;;;0,0;Residencial;Residencial;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Residencial Edificacion Abierta;Residencial Edificacion Abierta
18,93%  En Condominio  Parcela C-2 Unidad Ejecucion Nº 5;Valencia/València;Benaguasil;Patrimonial;Suelo Urbano;Inventariado;Dirección General De Patrimonio;N;S;N;2007/06/07 00:00:00.000000000;;;0,0;Residencial;Residencial;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Patrimonial;Patrimonial;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
2 Locales En Alicante Para Archivo De Documentos;Alicante/Alacant;Alacant/Alicante;Almacen Y Archivos;Local;Inventariado;Conselleria De Medio Ambiente  Infraestructuras Y Territorio;N;N;N;2001/03/07 00:00:00.000000000;;;296,0;Residencial;Residencial;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
25% Rustica Pda Saera 1/4 Parte De La Parcela  Procedente De Abintestato;Castellón/Castelló;Onda;Asistencial Social;Suelo No Urbanizable;Inventariado;Direccion General De Patrimonio Abintestatos;N;S;N;1999/07/01 00:00:00.000000000;;;0,0;Desconocida;Desconeguda;Suelo No Urbanizable Especial Proteccion;Suelo No Urbanizable Especial Proteccion;Desconocido;Desconegut;Abintestato;Abintestat;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
50% Casa De Planta Baja Y Piso Alto Procedente De Abi;Castellón/Castelló;Castelló de la Plana/Castellón de la Plana;Asistencial Social;Vivienda;Inventariado;Direccion General De Patrimonio Abintestatos;N;S;N;2010/03/22 00:00:00.000000000;;;253,0;Desconocida;Desconeguda;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Abintestato;Abintestat;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
50% Vivienda;Valencia/València;València;Asistencial Social;Vivienda;Inventariado;Direccion General De Patrimonio Abintestatos;N;S;N;2003/02/22 00:00:00.000000000;;;96,38;Residencial;Residencial;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Abintestato;Abintestat;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
50% Vivienda Unifamiliar;Valencia/València;Eliana, l';Asistencial Social;Vivienda;Inventariado;Direccion General De Patrimonio Abintestatos;N;S;N;2003/02/22 00:00:00.000000000;;;140,0;Residencial;Residencial;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Abintestato;Abintestat;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
6 Locales Y 10 Aparcamientos Con 10 Trasteros  ( Anteriormente Rtvv);Valencia/València;València;Administrativo;Local;Inventariado;Presidencia;N;S;N;1985/05/28 00:00:00.000000000;;;1410,23;Edificación Abierta;Edificación Abierta;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
